"GSE","GSM","age","sex"
"GSE67220","""""GSM1642618""""",16,NA
"GSE67220","""""GSM1642619""""",19,NA
"GSE67220","""""GSM1642620""""",22,NA
"GSE67220","""""GSM1642621""""",4,NA
"GSE67220","""""GSM1642622""""",58,NA
"GSE67220","""""GSM1642623""""",7,NA
"GSE56033","GSM1350856",30,"F"
"GSE56033","GSM1350857",30,"F"
"GSE56033","GSM1350858",47,"M"
"GSE56033","GSM1350859",46,"F"
"GSE56033","GSM1350860",42,"M"
"GSE56033","GSM1350861",27,"F"
"GSE56033","GSM1350862",20,"F"
"GSE56033","GSM1350863",49,"F"
"GSE56033","GSM1350864",23,"F"
"GSE56033","GSM1350865",36,"M"
"GSE56033","GSM1350866",36,"M"
"GSE56033","GSM1350867",23,"F"
"GSE56033","GSM1350868",43,"M"
"GSE56033","GSM1350869",40,"M"
"GSE56033","GSM1350870",19,"F"
"GSE56033","GSM1350871",23,"F"
"GSE56033","GSM1350872",20,"M"
"GSE56033","GSM1350873",20,"M"
"GSE56033","GSM1350874",41,"F"
"GSE56033","GSM1350875",43,"M"
"GSE56033","GSM1350876",40,"F"
"GSE56033","GSM1350877",46,"F"
"GSE56033","GSM1350878",47,"F"
"GSE56033","GSM1350879",47,"F"
"GSE56033","GSM1350880",38,"M"
"GSE56033","GSM1350881",44,"M"
"GSE56033","GSM1350882",27,"F"
"GSE56033","GSM1350883",46,"M"
"GSE56033","GSM1350884",20,"M"
"GSE56033","GSM1350885",20,"M"
"GSE56033","GSM1350886",19,"F"
"GSE56033","GSM1350887",25,"F"
"GSE56033","GSM1350888",21,"M"
"GSE56033","GSM1350889",44,"M"
"GSE56033","GSM1350890",45,"M"
"GSE56033","GSM1350891",50,"M"
"GSE56033","GSM1350892",37,"M"
"GSE56033","GSM1350893",36,"M"
"GSE56033","GSM1350894",20,"F"
"GSE56033","GSM1350895",44,"M"
"GSE56033","GSM1350896",29,"F"
"GSE56033","GSM1350897",46,"M"
"GSE56033","GSM1350898",30,"F"
"GSE56033","GSM1350899",48,"M"
"GSE56033","GSM1350900",28,"F"
"GSE56033","GSM1350901",40,"F"
"GSE56033","GSM1350902",34,"M"
"GSE56033","GSM1350903",34,"F"
"GSE56033","GSM1350904",28,"M"
"GSE56033","GSM1350905",46,"M"
"GSE56033","GSM1350906",23,"F"
"GSE56033","GSM1350907",25,"F"
"GSE56033","GSM1350908",26,"F"
"GSE56033","GSM1350909",51,"M"
"GSE56033","GSM1350910",23,"F"
"GSE56033","GSM1350911",24,"F"
"GSE56033","GSM1350912",50,"F"
"GSE56033","GSM1350913",38,"F"
"GSE56033","GSM1350914",44,"F"
"GSE56033","GSM1350915",22,"F"
"GSE56033","GSM1350916",42,"M"
"GSE56033","GSM1350917",27,"F"
"GSE56033","GSM1350918",28,"F"
"GSE56033","GSM1350919",41,"F"
"GSE56033","GSM1350920",46,"M"
"GSE56033","GSM1350921",32,"F"
"GSE56033","GSM1350922",32,"F"
"GSE56033","GSM1350923",26,"M"
"GSE56033","GSM1350924",49,"M"
"GSE56033","GSM1350925",19,"F"
"GSE56033","GSM1350926",30,"F"
"GSE56033","GSM1350927",42,"F"
"GSE56033","GSM1350928",26,"F"
"GSE56033","GSM1350929",23,"F"
"GSE56033","GSM1350930",42,"M"
"GSE56033","GSM1350931",47,"M"
"GSE56033","GSM1350932",23,"F"
"GSE56033","GSM1350933",24,"F"
"GSE56033","GSM1350934",28,"F"
"GSE56033","GSM1350935",45,"F"
"GSE56033","GSM1350936",48,"F"
"GSE56033","GSM1350937",24,"M"
"GSE56033","GSM1350938",47,"M"
"GSE56033","GSM1350939",20,"F"
"GSE56033","GSM1350940",20,"F"
"GSE56033","GSM1350941",24,"F"
"GSE56033","GSM1350942",51,"F"
"GSE56033","GSM1350943",25,"F"
"GSE56033","GSM1350944",19,"F"
"GSE56033","GSM1350945",21,"F"
"GSE56033","GSM1350946",44,"M"
